R,Z,dR,dZ
1248.25,1447.95,12.7,12.7
1262.95,1447.95,12.7,12.7
1277.65,1447.95,12.7,12.7
1292.35,1447.95,12.7,12.7
1307.05,1447.95,12.7,12.7
1321.75,1447.95,12.7,12.7
1248.25,1462.65,12.7,12.7
1262.95,1462.65,12.7,12.7
1277.65,1462.65,12.7,12.7
1292.35,1462.65,12.7,12.7
1307.05,1462.65,12.7,12.7
1321.75,1462.65,12.7,12.7
1248.25,1477.35,12.7,12.7
1262.95,1477.35,12.7,12.7
1277.65,1477.35,12.7,12.7
1292.35,1477.35,12.7,12.7
1307.05,1477.35,12.7,12.7
1321.75,1477.35,12.7,12.7
1248.25,1492.05,12.7,12.7
1262.95,1492.05,12.7,12.7
1277.65,1492.05,12.7,12.7
1292.35,1492.05,12.7,12.7
1307.05,1492.05,12.7,12.7
